Powiaty;Y;X1;X2;X3;X4
Powiat myòlenicki;905;271004;22;4286,31;501
Powiat nowos•decki;1036;248006;19;3909,31;274
Powiat nowotarski;678;251658;47;3945,52;651
Powiat olkuski;447;174851;20;4671,2;232
Powiat oòwi©cimski;760;164749;43;4615,99;430
Powiat proszowicki;172;160946;7;4260,59;105
Powiat suski;388;161125;15;4212,34;336
Powiat tarnowski;1215;155885;23;3779,1;597
Powiat tatrza‰ski;365;490007;14;4459,57;297
Powiat wadowicki;722;217612;32;4085,96;550
Powiat wielicki;2403;276914;19;4768,99;1094
Powiat m.Krak¢w;13206;369851;209;5878,79;13039
Powiat m.Nowy S•cz;640;213653;52;4115,73;179
Powiat m.Tarn¢w;829;194348;58;5216,76;236
Powiat biaàobrzeski;175;176056;5;4119,06;107
Powiat ciechanowski;468;183644;34;4755,95;534
Powiat garwoli‰ski;459;222498;27;4373,13;488
Powiat gostyni‰ski;224;137997;8;4236,19;90
Powiat grodziski;2491;337299;18;5395,42;837
Powiat gr¢jecki;651;198262;25;4854,27;553
Powiat kozienicki;305;167574;14;5673,51;242
Powiat legionowski;2853;288459;15;4722,05;1558
Powiat lipski;187;135500;11;4257,08;66
Powiat àosicki;158;173019;7;3991,2;134
Powiat makowski;223;144087;11;4093,31;147
Powiat mi‰ski;1508;267818;35;4373,77;890
Powiat màawski;363;185529;28;4244,24;397
Powiat nowodworski;808;227307;15;5781,86;480
Powiat ostroà©cki;791;0;21;4281,28;362
Powiat ostrowski;252;171039;16;4308,21;197
Powiat otwocki;1276;330661;24;4983,6;362
Powiat piaseczy‰ski;4393;353231;37;5120,47;2191
Powiat pàocki;1163;191122;10;4332,92;363
Powiat pào‰ski;454;161045;25;4421,56;322
Powiat pruszkowski;3092;363425;26;6124,57;1453
Powiat przasnyski;236;195771;21;4282,28;139
Powiat przysuski;227;119395;17;4148,89;96
Powiat puàtuski;425;159132;13;4195,24;228
Powiat radomski;1288;106641;14;4018,68;590
Powiat siedlecki;711;224825;4;4073,76;220
Powiat sierpecki;279;148215;14;4163,16;121
Powiat sochaczewski;467;175903;21;5098,89;272
Powiat sokoàowski;221;162472;12;4242,82;152
Powiat szydàowiecki;215;109930;9;3859,09;113
Powiat warszawski zachodni;2723;439164;18;5730,95;1431
Powiat w©growski;311;177769;19;4188,07;157
Powiat woàomi‰ski;4800;331130;30;4790,56;2593
Powiat wyszkowski;429;199729;24;4110,84;498
Powiat zwole‰ski;197;127100;6;4181,55;118
Powiat æuromi‰ski;143;173895;8;3855,91;39
Powiat æyrardowski;663;207893;19;4745,14;459
Powiat m.Ostroà©ka;548;177436;26;5175,65;379
Powiat m.Pàock;1007;199268;57;6091,56;600
Powiat m.Radom;965;205660;69;4684,64;697
Powiat m.Siedlce;915;232621;45;4857,69;885
Powiat m. st. Warszawa;24684;519153;391;6802,6;21599
Powiat brzeski;491;154152;20;4546,01;231
Powiat gàubczycki;323;97508;13;4341,64;32
Powiat k©dzierzy‰sko-kozielski;426;123004;22;5204,96;121
Powiat kluczborski;272;155382;18;4291,66;149
Powiat krapkowicki;330;128687;10;5156,01;130
Powiat namysàowski;304;150605;12;4502,51;218
Powiat nyski;566;133925;37;4218,98;162
Powiat oleski;286;115027;22;4176,75;82
Powiat opolski;1202;155101;15;4371,57;266
Powiat prudnicki;289;94116;14;4101,26;34
Powiat strzelecki;369;126694;15;4494,88;122
Powiat m.Opole;1459;274347;64;5147,55;1179
Powiat bieszczadzki;123;112583;6;4270,42;38
Powiat brzozowski;315;134103;7;3915,6;193
Powiat d©bicki;478;185565;30;4304,06;462
Powiat jarosàawski;446;168647;33;4245,21;330
Powiat jasielski;380;137457;24;4117,45;180
Powiat kolbuszowski;283;211702;6;3924,85;146
Powiat kroònie‰ski;650;120966;19;3790,78;295
Powiat leæajski;281;106277;9;4150,73;171
Powiat lubaczowski;201;113654;10;3842,69;102
Powiat àa‰cucki;544;194515;14;3896;321
Powiat mielecki;446;220047;32;4532,27;457
Powiat niæa‰ski;349;148550;9;3793,53;187
Powiat przemyski;515;154673;4;3784,27;223
Powiat przeworski;427;162587;12;3936,52;197
Powiat ropczycko-s©dziszowski;359;184447;10;4216,57;272
Powiat rzeszowski;2265;230942;17;4304,89;1003
Powiat sanocki;346;190582;18;4160,41;278
Powiat stalowowolski;549;169726;22;4611,67;222
Powiat strzyæowski;319;133863;9;3686,34;138
Powiat tarnobrzeski;346;160035;10;4329,59;141
Powiat leski;162;190935;6;4450,43;98
Powiat m.Krosno;449;180701;25;4217,51;193
Powiat m.Przemyòl;395;164806;37;4078,09;127
Powiat m.Rzesz¢w;3582;268065;78;5117,26;3291
Powiat m.Tarnobrzeg;416;167451;28;4146,9;148
Powiat augustowski;245;234318;11;4634,41;213
Powiat biaàostocki;2752;185898;8;4189,6;1174
Powiat bielski;301;177426;10;5295,45;158
Powiat grajewski;198;163467;11;4758,98;151
Powiat hajnowski;232;158069;10;4690,11;130
Powiat kolne‰ski;183;165773;6;4089,17;180
Powiat àomæy‰ski;494;122010;3;4589,37;184
Powiat moniecki;160;175319;7;4216,5;104
Powiat sejne‰ski;100;156179;5;4327,4;76
Powiat siemiatycki;161;141381;9;4231,02;81
Powiat sok¢lski;260;140037;15;4200,08;172
Powiat suwalski;377;116455;2;3871,65;126
Powiat wysokomazowiecki;255;202609;15;4733,72;128
Powiat zambrowski;199;185059;11;4371,63;91
Powiat m.Biaàystok;2818;268118;94;4744,13;2450
Powiat m.ùomæa;570;212974;31;4417,66;202
Powiat m.Suwaàki;666;217923;28;4297,01;469
Powiat bytowski;328;166610;14;4489,5;241
Powiat chojnicki;529;198019;36;4051,6;545
Powiat czàuchowski;324;114427;21;4292,17;115
Powiat gda‰ski;2699;296871;13;4678,84;1170
Powiat kartuski;2300;283273;26;4239,41;1529
Powiat koòcierski;401;186644;17;3966,09;302
Powiat kwidzy‰ski;342;184798;20;4567,79;187
Powiat l©borski;344;181789;18;4493,51;305
Powiat malborski;488;171772;11;4239,59;268
Powiat nowodworski;230;187334;5;4369,99;229
Powiat pucki;1369;361329;14;4402,51;1194
Powiat sàupski;1303;202166;5;4391,83;539
Powiat starogardzki;696;200306;30;4543,48;606
Powiat tczewski;641;207380;34;4663,54;328
Powiat wejherowski;2589;265477;33;4306,07;1434
Powiat sztumski;208;95963;13;4306,45;39
Powiat m.Gda‰sk;7417;393832;117;6154,35;7265
Powiat m.Gdynia;3313;428509;54;5624,49;1479
Powiat m.Sàupsk;1187;199761;62;4287,66;453
Powiat m.Sopot;400;699596;8;6064,2;135
Powiat b©dzi‰ski;1661;161341;22;4360,09;453
Powiat bielski;1898;152316;12;4564,32;542
Powiat cieszy‰ski;1084;214279;39;4395,74;600
Powiat cz©stochowski;1276;134426;8;4310,92;496
Powiat gliwicki;1227;173579;12;4432,82;383
Powiat kàobucki;438;138222;10;3683,38;195
Powiat lubliniecki;462;144421;16;4316,81;199
Powiat mikoàowski;1315;186898;14;4611,31;479
Powiat myszkowski;465;123748;14;4414,28;159
Powiat pszczy‰ski;964;165915;20;4426,94;457
Powiat raciborski;634;134895;33;4814,65;119
Powiat rybnicki;754;131291;4;4417,88;222
Powiat tarnog¢rski;1868;184530;45;4658,86;795
Powiat bieru‰sko-l©dzi‰ski;631;139570;7;4545,54;150
Powiat wodzisàawski;978;110943;29;4031,73;316
Powiat zawiercia‰ski;639;107465;29;4633,87;226
Powiat æywiecki;777;185879;33;4766,3;550
Powiat m.Bielsko-Biaàa;1388;252328;65;5101,34;693
Powiat m.Bytom;1257;117054;43;4770,54;106
Powiat m.Chorz¢w;1214;188417;39;4656,18;425
Powiat m.Cz©stochowa;1270;210284;80;4547,34;630
Powiat m.D•browa G¢rnicza;961;179490;27;5632,06;250
Powiat m.Gliwice;1510;234453;49;5889,99;792
Powiat m.Jastrz©bie-Zdr¢j;654;129143;26;8443,25;150
Powiat m.Jaworzno;474;184559;19;5831,21;303
Powiat m.Katowice;2986;256807;99;6175,8;1344
Powiat m.Mysàowice;906;191019;10;4627,91;381
Powiat m.Piekary ól•skie;502;133451;10;5189,69;95
Powiat m.Ruda ól•ska;1216;134296;18;4422,77;193
Powiat m.Rybnik;969;174214;35;4784,77;491
Powiat m.Siemianowice ól•skie;691;193657;15;4672,11;169
Powiat m.Sosnowiec;1332;152778;42;4754,35;398
Powiat m.ówi©tochàowice;473;136032;10;4316,83;29
Powiat m.Tychy;928;229151;31;4916,9;476
Powiat m.Zabrze;1224;153828;42;4980,04;326
Powiat m.Ωory;629;221558;17;4577,92;395
Powiat buski;363;190120;21;4165,07;228
Powiat j©drzejowski;339;122894;22;4717,56;209
Powiat kazimierski;179;94316;13;3794,18;41
Powiat kielecki;1941;274409;21;4056,9;863
Powiat konecki;328;123282;26;4188,5;107
Powiat opatowski;307;113202;19;3939,62;99
Powiat ostrowiecki;437;113762;31;4129,16;135
Powiat pi‰czowski;224;110452;13;4145,06;56
Powiat sandomierski;301;161222;25;4656,65;156
Powiat skaræyski;334;145793;26;4399,33;148
Powiat starachowicki;275;154035;17;4481,58;136
Powiat staszowski;309;130017;15;4516,27;155
Powiat wàoszczowski;213;132609;9;4459,58;131
Powiat m.Kielce;1751;248113;91;4879,19;1424
Powiat bartoszycki;238;118678;14;4015,63;53
Powiat braniewski;209;129711;10;4082,77;42
Powiat dziaàdowski;288;139881;18;3878,46;223
Powiat elbl•ski;509;138001;8;3920,89;131
Powiat eàcki;736;225409;27;4008,98;513
Powiat giæycki;417;184184;15;4170,9;165
Powiat iàawski;566;194059;25;3892,75;436
Powiat k©trzy‰ski;269;113512;20;4039,89;74
Powiat lidzbarski;247;111471;15;3947;60
Powiat mr•gowski;278;168545;9;3904,2;201
Powiat nidzicki;115;145545;12;3853,58;135
Powiat nowomiejski;211;138005;6;3732,36;186
Powiat olecki;187;121322;11;4143,9;50
Powiat olszty‰ski;2439;215641;19;4367,81;1187
Powiat ostr¢dzki;526;148052;28;4160,33;205
Powiat piski;266;112985;14;4280,99;81
Powiat szczycie‰ski;422;154651;13;4177,74;324
Powiat goàdapski;143;130449;5;3882,07;46
Powiat w©gorzewski;171;145339;6;3844,48;75
Powiat m.Elbl•g;825;197180;33;4512,03;340
Powiat m.Olsztyn;2230;265571;85;5018,92;1279
Powiat chodzieski;208;165292;13;4353,18;120
Powiat czarnkowsko-trzcianecki;335;179117;24;4535,39;301
Powiat gnie´nie‰ski;719;187038;42;4265,39;825
Powiat gosty‰ski;312;187306;18;4316,45;305
Powiat grodziski;234;168750;7;4017,37;367
Powiat jaroci‰ski;293;161662;16;3897,09;285
Powiat kaliski;630;272100;7;3970,36;223
Powiat k©pi‰ski;283;192170;8;3537,58;293
Powiat kolski;344;137352;22;4492,22;189
Powiat koni‰ski;1071;142464;14;3795,47;595
Powiat koòcia‰ski;364;163749;15;4383,66;505
Powiat krotoszy‰ski;288;170908;26;3670,08;366
Powiat leszczy‰ski;949;223661;11;4578,34;509
Powiat mi©dzychodzki;199;144107;8;4097,52;176
Powiat nowotomyski;377;176423;17;4434,29;352
Powiat obornicki;313;198379;12;4484,38;288
Powiat ostrowski;700;178391;32;4303,12;796
Powiat ostrzeszowski;290;157771;9;4195,18;205
Powiat pilski;598;211105;41;4628,67;366
Powiat pleszewski;294;197321;10;4220,36;191
Powiat pozna‰ski;9836;316549;31;4624,14;4888
Powiat rawicki;280;167273;17;3976,06;407
Powiat sàupecki;306;138149;11;4166,29;140
